乾	名詞,固有名詞,人名,姓,*,*,乾,イヌイ,イヌイ
1	名詞,数,*,*,*,*,*
]。	名詞,サ変接続,*,*,*,*,*
これら	名詞,代名詞,一般,*,*,*,これら,コレラ,コレラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
評価	名詞,サ変接続,*,*,*,*,評価,ヒョウカ,ヒョーカ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
月間	名詞,一般,*,*,*,*,月間,ゲッカン,ゲッカン
MVP	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
候補	名詞,一般,*,*,*,*,候補,コウホ,コーホ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
FC	名詞,一般,*,*,*,*,*
バルセロナ	名詞,固有名詞,地域,一般,*,*,バルセロナ,バルセロナ,バルセロナ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ルイス・スアレス	名詞,一般,*,*,*,*,*
、	記号,読点,*,*,*,*,、,、,、
デポルティーボ・アラベス	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
イバイ・ゴメス	名詞,一般,*,*,*,*,*
と共に	助詞,格助詞,連語,*,*,*,と共に,トトモニ,トトモニ
選ば	動詞,自立,*,*,五段・バ行,未然形,選ぶ,エラバ,エラバ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
2	名詞,数,*,*,*,*,*
]。	名詞,サ変接続,*,*,*,*,*
2018	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
6	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
1	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
レアル・ベティス	名詞,一般,*,*,*,*,*
と	助詞,並立助詞,*,*,*,*,と,ト,ト
2021	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
3	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
契約	名詞,サ変接続,*,*,*,*,契約,ケイヤク,ケイヤク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
締結	名詞,サ変接続,*,*,*,*,締結,テイケツ,テイケツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
3	名詞,数,*,*,*,*,*
]。	名詞,サ変接続,*,*,*,*,*
入団	名詞,サ変接続,*,*,*,*,入団,ニュウダン,ニューダン
会見	名詞,サ変接続,*,*,*,*,会見,カイケン,カイケン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
プレシーズン	名詞,一般,*,*,*,*,プレシーズン,プレシーズン,プレシーズン
マッチ	名詞,サ変接続,*,*,*,*,マッチ,マッチ,マッチ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
ロシア	名詞,固有名詞,地域,国,*,*,ロシア,ロシア,ロシア
W	名詞,一般,*,*,*,*,*
杯	名詞,接尾,一般,*,*,*,杯,ハイ,ハイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
同じ	連体詞,*,*,*,*,*,同じ,オナジ,オナジ
背番号	名詞,一般,*,*,*,*,背番号,セバンゴウ,セバンゴー
「	記号,括弧開,*,*,*,*,「,「,「
14	名詞,数,*,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
付け	動詞,自立,*,*,一段,連用形,付ける,ツケ,ツケ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
乾	名詞,一般,*,*,*,*,乾,イヌイ,イヌイ
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
後	名詞,非自立,副詞可能,*,*,*,後,ノチ,ノチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
移籍	名詞,サ変接続,*,*,*,*,移籍,イセキ,イセキ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ウィリアム	名詞,固有名詞,人名,名,*,*,ウィリアム,ウィリアム,ウィリアム
・	記号,一般,*,*,*,*,・,・,・
カルヴァーリョ	名詞,一般,*,*,*,*,*
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
背番号	名詞,一般,*,*,*,*,背番号,セバンゴウ,セバンゴー
14	名詞,数,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
希望	名詞,サ変接続,*,*,*,*,希望,キボウ,キボー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
乾	名詞,一般,*,*,*,*,乾,イヌイ,イヌイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
カルヴァーリョ	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
14	名詞,数,*,*,*,*,*
番	名詞,接尾,助数詞,*,*,*,番,バン,バン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
譲り	動詞,自立,*,*,五段・ラ行,連用形,譲る,ユズリ,ユズリ
エイ	感動詞,*,*,*,*,*,エイ,エイ,エイ
バル	名詞,一般,*,*,*,*,バル,バル,バル
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
同じ	連体詞,*,*,*,*,*,同じ,オナジ,オナジ
背番号	名詞,一般,*,*,*,*,背番号,セバンゴウ,セバンゴー
「	記号,括弧開,*,*,*,*,「,「,「
8	名詞,数,*,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
付ける	動詞,自立,*,*,一段,基本形,付ける,ツケル,ツケル
事	名詞,非自立,一般,*,*,*,事,コト,コト
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
4	名詞,数,*,*,*,*,*
]。	名詞,サ変接続,*,*,*,*,*
8	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
17	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
ラ・リーガ	名詞,一般,*,*,*,*,*
開幕	名詞,サ変接続,*,*,*,*,開幕,カイマク,カイマク
節	名詞,接尾,一般,*,*,*,節,ブシ,ブシ
レバンテ	名詞,一般,*,*,*,*,*
UD	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
にて	助詞,格助詞,一般,*,*,*,にて,ニテ,ニテ
途中	名詞,副詞可能,*,*,*,*,途中,トチュウ,トチュー
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
移籍	名詞,サ変接続,*,*,*,*,移籍,イセキ,イセキ
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
リーグ	名詞,一般,*,*,*,*,リーグ,リーグ,リーグ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2019	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
1	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
24	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
機会	名詞,一般,*,*,*,*,機会,キカイ,キカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
求め	動詞,自立,*,*,一段,連用形,求める,モトメ,モトメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
デポルティーボ・アラベス	名詞,一般,*,*,*,*,*
と	助詞,並立助詞,*,*,*,*,と,ト,ト
シーズン	名詞,一般,*,*,*,*,シーズン,シーズン,シーズン
終了	名詞,サ変接続,*,*,*,*,終了,シュウリョウ,シューリョー
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
期限	名詞,一般,*,*,*,*,期限,キゲン,キゲン
付き	名詞,接尾,一般,*,*,*,付き,ツキ,ツキ
移籍	名詞,サ変接続,*,*,*,*,移籍,イセキ,イセキ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
5	名詞,数,*,*,*,*,*
]。	名詞,サ変接続,*,*,*,*,*
背番号	名詞,一般,*,*,*,*,背番号,セバンゴウ,セバンゴー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
11	名詞,数,*,*,*,*,*
番	名詞,接尾,助数詞,*,*,*,番,バン,バン
。	記号,句点,*,*,*,*,。,。,。
2	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
23	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
25	名詞,数,*,*,*,*,*
節	名詞,接尾,助数詞,*,*,*,節,セツ,セツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
セルタ・デ・ビーゴ	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
日本人	名詞,一般,*,*,*,*,日本人,ニッポンジン,ニッポンジン
史上	名詞,一般,*,*,*,*,史上,シジョウ,シジョー
初	名詞,接尾,一般,*,*,*,初,ハツ,ハツ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
リーガ・エスパニョーラ	名詞,一般,*,*,*,*,*
通算	名詞,サ変接続,*,*,*,*,通算,ツウサン,ツーサン
100	名詞,数,*,*,*,*,*
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
達成	名詞,サ変接続,*,*,*,*,達成,タッセイ,タッセイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
6	名詞,数,*,*,*,*,*
]	名詞,サ変接続,*,*,*,*,*
3	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
2	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ビジャレアル	名詞,一般,*,*,*,*,*
CF	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
移籍	名詞,サ変接続,*,*,*,*,移籍,イセキ,イセキ
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
、	記号,読点,*,*,*,*,、,、,、
2	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
勝利	名詞,サ変接続,*,*,*,*,勝利,ショウリ,ショーリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
導い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,導く,ミチビイ,ミチビイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
7	名詞,数,*,*,*,*,*
]。	名詞,サ変接続,*,*,*,*,*
更	名詞,形容動詞語幹,*,*,*,*,更,サラ,サラ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
続く	動詞,自立,*,*,五段・カ行イ音便,基本形,続く,ツヅク,ツズク
9	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
古巣	名詞,一般,*,*,*,*,古巣,フルス,フルス
エイ	感動詞,*,*,*,*,*,エイ,エイ,エイ
バル	名詞,一般,*,*,*,*,バル,バル,バル
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
8	名詞,数,*,*,*,*,*
]。	名詞,サ変接続,*,*,*,*,*
2006	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
、	記号,読点,*,*,*,*,、,、,、
U	名詞,固有名詞,組織,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
21	名詞,数,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
選出	名詞,サ変接続,*,*,*,*,選出,センシュツ,センシュツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
2	名詞,数,*,*,*,*,*
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
途中	名詞,副詞可能,*,*,*,*,途中,トチュウ,トチュー
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2009	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
1	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
20	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
アジア	名詞,固有名詞,地域,一般,*,*,アジア,アジア,アジア
カップ	名詞,一般,*,*,*,*,カップ,カップ,カップ
・	記号,一般,*,*,*,*,・,・,・
カタール	名詞,固有名詞,地域,国,*,*,カタール,カタール,カタール
大会	名詞,一般,*,*,*,*,大会,タイカイ,タイカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
予選	名詞,一般,*,*,*,*,予選,ヨセン,ヨセン
、	記号,読点,*,*,*,*,、,、,、
イエメン	名詞,固有名詞,地域,国,*,*,イエメン,イエメン,イエメン
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
金崎	名詞,固有名詞,人名,姓,*,*,金崎,カネサキ,カネサキ
夢	名詞,固有名詞,人名,名,*,*,夢,ユメ,ユメ
生	名詞,接尾,一般,*,*,*,生,セイ,セイ
とともに	助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
A	名詞,固有名詞,組織,*,*,*,*
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
デビュー	名詞,サ変接続,*,*,*,*,デビュー,デビュー,デビュー
。	記号,句点,*,*,*,*,。,。,。
2014	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
11	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
14	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
約	接頭詞,数接続,*,*,*,*,約,ヤク,ヤク
1	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
ぶり	名詞,接尾,一般,*,*,*,ぶり,ブリ,ブリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
復帰	名詞,サ変接続,*,*,*,*,復帰,フッキ,フッキ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
キリン	名詞,固有名詞,組織,*,*,*,キリン,キリン,キリン
チャレンジ	名詞,サ変接続,*,*,*,*,チャレンジ,チャレンジ,チャレンジ
カップ	名詞,一般,*,*,*,*,カップ,カップ,カップ
・	記号,一般,*,*,*,*,・,・,・
ホンジュラス	名詞,固有名詞,地域,国,*,*,ホンジュラス,ホンジュラス,ホンジュラス
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2017	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
5	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
25	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
メンバー	名詞,一般,*,*,*,*,メンバー,メンバー,メンバー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
選出	名詞,サ変接続,*,*,*,*,選出,センシュツ,センシュツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
6	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
7	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
行わ	動詞,自立,*,*,五段・ワ行促音便,未然形,行う,オコナワ,オコナワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
キリンチャレンジカップ	名詞,一般,*,*,*,*,*
2017	名詞,数,*,*,*,*,*
シリア	名詞,固有名詞,地域,国,*,*,シリア,シリア,シリア
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
にて	助詞,格助詞,一般,*,*,*,にて,ニテ,ニテ
途中	名詞,副詞可能,*,*,*,*,途中,トチュウ,トチュー
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
2	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
ぶり	名詞,接尾,一般,*,*,*,ぶり,ブリ,ブリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
復帰	名詞,サ変接続,*,*,*,*,復帰,フッキ,フッキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
果たし	動詞,自立,*,*,五段・サ行,連用形,果たす,ハタシ,ハタシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2018	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
5	名詞,数,*,*,*,*,*
月	名詞,接尾,助数詞,*,*,*,月,ツキ,ツキ
、	記号,読点,*,*,*,*,、,、,、
2018	名詞,数,*,*,*,*,*
FIFA	名詞,固有名詞,組織,*,*,*,*
ワールドカップ	名詞,固有名詞,一般,*,*,*,ワールドカップ,ワールドカップ,ワールドカップ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
メンバー	名詞,一般,*,*,*,*,メンバー,メンバー,メンバー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
選出	名詞,サ変接続,*,*,*,*,選出,センシュツ,センシュツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
自身	名詞,一般,*,*,*,*,自身,ジシン,ジシン
初	名詞,接尾,一般,*,*,*,初,ハツ,ハツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ワールドカップ	名詞,固有名詞,一般,*,*,*,ワールドカップ,ワールドカップ,ワールドカップ
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
入り	名詞,接尾,サ変接続,*,*,*,入り,イリ,イリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
果たし	動詞,自立,*,*,五段・サ行,連用形,果たす,ハタシ,ハタシ
、	記号,読点,*,*,*,*,、,、,、
グループ	名詞,一般,*,*,*,*,グループ,グループ,グループ
リーグ	名詞,一般,*,*,*,*,リーグ,リーグ,リーグ
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
2	名詞,数,*,*,*,*,*
戦	名詞,接尾,助数詞,*,*,*,戦,セン,セン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
セネガル	名詞,固有名詞,地域,国,*,*,セネガル,セネガル,セネガル
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
ワールドカップ	名詞,固有名詞,一般,*,*,*,ワールドカップ,ワールドカップ,ワールドカップ
自身	名詞,一般,*,*,*,*,自身,ジシン,ジシン
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
決勝	名詞,一般,*,*,*,*,決勝,ケッショウ,ケッショー
トーナメント	名詞,一般,*,*,*,*,トーナメント,トーナメント,トーナメント
1	名詞,数,*,*,*,*,*
回戦	名詞,接尾,助数詞,*,*,*,回戦,カイセン,カイセン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ベルギー	名詞,固有名詞,地域,国,*,*,ベルギー,ベルギー,ベルギー
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
2	名詞,数,*,*,*,*,*
点	名詞,接尾,助数詞,*,*,*,点,テン,テン
目	名詞,接尾,一般,*,*,*,目,メ,メ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
ミドルシュート	名詞,一般,*,*,*,*,ミドルシュート,ミドルシュート,ミドルシュート
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
逆転	名詞,サ変接続,*,*,*,*,逆転,ギャクテン,ギャクテン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
敗れ	動詞,自立,*,*,一段,連用形,敗れる,ヤブレ,ヤブレ
ベスト	名詞,一般,*,*,*,*,ベスト,ベスト,ベスト
16	名詞,数,*,*,*,*,*
で	助詞,格助詞,一般,*,*,*,で,デ,デ
大会	名詞,一般,*,*,*,*,大会,タイカイ,タイカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
去っ	動詞,自立,*,*,五段・ラ行,連用タ接続,去る,サッ,サッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
大会	名詞,一般,*,*,*,*,大会,タイカイ,タイカイ
終了	名詞,サ変接続,*,*,*,*,終了,シュウリョウ,シューリョー
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
FIFA	名詞,一般,*,*,*,*,*
公式	名詞,形容動詞語幹,*,*,*,*,公式,コウシキ,コーシキ
